3: should be: 0, is 139
4: should be: 0, is 1
5: should be: 0, is 1
7: should be: 0, is 139
10: should be: 0, is 1
12: should be: 0, is 139
13: should be: 0, is 139
14: should be: 0, is 139
15: should be: 0, is 139
16: should be: 0, is 139
17: should be: 0, is 1
18: should be: 0, is 139
19: should be: 0, is 1
20: should be: 0, is 1
21: should be: 0, is 139
25: should be: 0, is 139
26: should be: 0, is 139
27: should be: 0, is 139
28: should be: 0, is 139
30: should be: 0, is 139
31: should be: 0, is 139
34: should be: 0, is 139
35: should be: 0, is 139
37: should be: 0, is 139
38: should be: 0, is 139
39: should be: 0, is 1
40: should be: 0, is 139
41: should be: 0, is 139
42: should be: 0, is 139
43: should be: 0, is 139
44: should be: 0, is 139
46: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
0: should be: 0, is 139
3: should be: 1, is 0
13: should be: 1, is 0
32: should be: 0, is 1
36: should be: 0, is 1
47: should be: 0, is 1
3: should be: 1, is 0
13: should be: 1, is 0
32: should be: 0, is 1
36: should be: 0, is 1
47: should be: 0, is 1
3: should be: 1, is 0
13: should be: 1, is 0
32: should be: 0, is 1
36: should be: 0, is 1
47: should be: 0, is 1
